trajectory,time,lon,lat
796,2025-12-29 14:31:00,133.06233,32.95208
796,2025-12-29 14:41:00,133.06271,32.95167
796,2025-12-29 14:51:00,133.06311,32.95125
796,2025-12-29 15:01:00,133.0635,32.95081
796,2025-12-29 15:11:00,133.0639,32.95036
796,2025-12-29 15:21:00,133.06433,32.94991
796,2025-12-29 15:31:00,133.06476,32.949455
796,2025-12-29 15:41:00,133.0652,32.949005
796,2025-12-29 15:51:00,133.06567,32.94855
796,2025-12-29 16:01:00,133.06615,32.9481
796,2025-12-29 16:11:00,133.06664,32.947647
797,2025-12-29 04:11:00,133.0369,32.9545
797,2025-12-29 04:21:00,133.03734,32.954594
797,2025-12-29 04:31:00,133.03778,32.954693
797,2025-12-29 04:41:00,133.03825,32.9548
797,2025-12-29 04:51:00,133.03873,32.954903
797,2025-12-29 05:01:00,133.03922,32.955013
797,2025-12-29 05:11:00,133.03972,32.955128
797,2025-12-29 05:21:00,133.04022,32.95524
797,2025-12-29 05:31:00,133.04074,32.955353
797,2025-12-29 05:41:00,133.04128,32.955463
797,2025-12-29 05:51:00,133.04181,32.955574
797,2025-12-29 06:01:00,133.04237,32.95568
797,2025-12-29 06:11:00,133.04292,32.95579
797,2025-12-29 06:21:00,133.04347,32.955902
797,2025-12-29 06:31:00,133.044,32.95601
797,2025-12-29 06:41:00,133.04454,32.95612
797,2025-12-29 06:51:00,133.04504,32.95623
797,2025-12-29 07:01:00,133.04555,32.956337
797,2025-12-29 07:11:00,133.04604,32.956448
797,2025-12-29 07:21:00,133.04652,32.956554
797,2025-12-29 07:31:00,133.04698,32.95666
797,2025-12-29 07:41:00,133.04744,32.956764
797,2025-12-29 07:51:00,133.04788,32.956867
797,2025-12-29 08:01:00,133.04831,32.956966
797,2025-12-29 08:11:00,133.04874,32.95706
797,2025-12-29 08:21:00,133.04915,32.957157
797,2025-12-29 08:31:00,133.04955,32.95725
797,2025-12-29 08:41:00,133.04994,32.957336
797,2025-12-29 08:51:00,133.05032,32.957424
797,2025-12-29 09:01:00,133.0507,32.957504
797,2025-12-29 09:11:00,133.05109,32.957584
797,2025-12-29 09:21:00,133.05145,32.957645
797,2025-12-29 09:31:00,133.05183,32.957695
797,2025-12-29 09:41:00,133.0522,32.957726
797,2025-12-29 09:51:00,133.05257,32.957745
797,2025-12-29 10:01:00,133.05293,32.957745
797,2025-12-29 10:11:00,133.0533,32.95773
797,2025-12-29 10:21:00,133.05367,32.9577
797,2025-12-29 10:31:00,133.05402,32.957653
797,2025-12-29 10:41:00,133.05437,32.957592
797,2025-12-29 10:51:00,133.05472,32.95751
797,2025-12-29 11:01:00,133.05507,32.95742
797,2025-12-29 11:11:00,133.05542,32.95731
797,2025-12-29 11:21:00,133.05576,32.957184
797,2025-12-29 11:31:00,133.05609,32.957047
797,2025-12-29 11:41:00,133.05643,32.95689
797,2025-12-29 11:51:00,133.05675,32.956722
797,2025-12-29 12:01:00,133.05708,32.95654
797,2025-12-29 12:11:00,133.0574,32.95634
797,2025-12-29 12:21:00,133.05772,32.956127
797,2025-12-29 12:31:00,133.05806,32.955902
797,2025-12-29 12:41:00,133.0584,32.95566
797,2025-12-29 12:51:00,133.05873,32.955406
797,2025-12-29 13:01:00,133.05907,32.955135
797,2025-12-29 13:11:00,133.05942,32.954853
797,2025-12-29 13:21:00,133.05977,32.954556
797,2025-12-29 13:31:00,133.06012,32.954243
797,2025-12-29 13:41:00,133.06047,32.95392
797,2025-12-29 13:51:00,133.06084,32.95358
797,2025-12-29 14:01:00,133.0612,32.953224
797,2025-12-29 14:11:00,133.06157,32.952858
797,2025-12-29 14:21:00,133.06195,32.952477
797,2025-12-29 14:31:00,133.06233,32.95208
797,2025-12-29 14:41:00,133.06271,32.95167
797,2025-12-29 14:51:00,133.06311,32.95125
797,2025-12-29 15:01:00,133.0635,32.95081
797,2025-12-29 15:11:00,133.0639,32.95036
797,2025-12-29 15:21:00,133.06433,32.94991
797,2025-12-29 15:31:00,133.06476,32.949455
797,2025-12-29 15:41:00,133.0652,32.949005
797,2025-12-29 15:51:00,133.06567,32.94855
797,2025-12-29 16:01:00,133.06615,32.9481
797,2025-12-29 16:11:00,133.06664,32.947647
798,2025-12-29 04:11:00,133.0369,32.9545
798,2025-12-29 04:21:00,133.03734,32.954594
798,2025-12-29 04:31:00,133.03778,32.954693
798,2025-12-29 04:41:00,133.03825,32.9548
798,2025-12-29 04:51:00,133.03873,32.954903
798,2025-12-29 05:01:00,133.03922,32.955013
798,2025-12-29 05:11:00,133.03972,32.955128
798,2025-12-29 05:21:00,133.04022,32.95524
798,2025-12-29 05:31:00,133.04074,32.955353
798,2025-12-29 05:41:00,133.04128,32.955463
798,2025-12-29 05:51:00,133.04181,32.955574
798,2025-12-29 06:01:00,133.04237,32.95568
798,2025-12-29 06:11:00,133.04292,32.95579
798,2025-12-29 06:21:00,133.04347,32.955902
798,2025-12-29 06:31:00,133.044,32.95601
798,2025-12-29 06:41:00,133.04454,32.95612
798,2025-12-29 06:51:00,133.04504,32.95623
798,2025-12-29 07:01:00,133.04555,32.956337
798,2025-12-29 07:11:00,133.04604,32.956448
798,2025-12-29 07:21:00,133.04652,32.956554
798,2025-12-29 07:31:00,133.04698,32.95666
798,2025-12-29 07:41:00,133.04744,32.956764
798,2025-12-29 07:51:00,133.04788,32.956867
798,2025-12-29 08:01:00,133.04831,32.956966
798,2025-12-29 08:11:00,133.04874,32.95706
798,2025-12-29 08:21:00,133.04915,32.957157
798,2025-12-29 08:31:00,133.04955,32.95725
798,2025-12-29 08:41:00,133.04994,32.957336
798,2025-12-29 08:51:00,133.05032,32.957424
798,2025-12-29 09:01:00,133.0507,32.957504
798,2025-12-29 09:11:00,133.05109,32.957584
798,2025-12-29 09:21:00,133.05145,32.957645
798,2025-12-29 09:31:00,133.05183,32.957695
798,2025-12-29 09:41:00,133.0522,32.957726
798,2025-12-29 09:51:00,133.05257,32.957745
798,2025-12-29 10:01:00,133.05293,32.957745
798,2025-12-29 10:11:00,133.0533,32.95773
798,2025-12-29 10:21:00,133.05367,32.9577
798,2025-12-29 10:31:00,133.05402,32.957653
798,2025-12-29 10:41:00,133.05437,32.957592
798,2025-12-29 10:51:00,133.05472,32.95751
798,2025-12-29 11:01:00,133.05507,32.95742
798,2025-12-29 11:11:00,133.05542,32.95731
798,2025-12-29 11:21:00,133.05576,32.957184
798,2025-12-29 11:31:00,133.05609,32.957047
798,2025-12-29 11:41:00,133.05643,32.95689
798,2025-12-29 11:51:00,133.05675,32.956722
798,2025-12-29 12:01:00,133.05708,32.95654
798,2025-12-29 12:11:00,133.0574,32.95634
798,2025-12-29 12:21:00,133.05772,32.956127
798,2025-12-29 12:31:00,133.05806,32.955902
798,2025-12-29 12:41:00,133.0584,32.95566
798,2025-12-29 12:51:00,133.05873,32.955406
798,2025-12-29 13:01:00,133.05907,32.955135
798,2025-12-29 13:11:00,133.05942,32.954853
798,2025-12-29 13:21:00,133.05977,32.954556
798,2025-12-29 13:31:00,133.06012,32.954243
798,2025-12-29 13:41:00,133.06047,32.95392
798,2025-12-29 13:51:00,133.06084,32.95358
798,2025-12-29 14:01:00,133.0612,32.953224
798,2025-12-29 14:11:00,133.06157,32.952858
798,2025-12-29 14:21:00,133.06195,32.952477
798,2025-12-29 14:31:00,133.06233,32.95208
798,2025-12-29 14:41:00,133.06271,32.95167
798,2025-12-29 14:51:00,133.06311,32.95125
798,2025-12-29 15:01:00,133.0635,32.95081
798,2025-12-29 15:11:00,133.0639,32.95036
798,2025-12-29 15:21:00,133.06433,32.94991
798,2025-12-29 15:31:00,133.06476,32.949455
798,2025-12-29 15:41:00,133.0652,32.949005
798,2025-12-29 15:51:00,133.06567,32.94855
798,2025-12-29 16:01:00,133.06615,32.9481
798,2025-12-29 16:11:00,133.06664,32.947647
799,2025-12-29 04:11:00,133.0369,32.9545
799,2025-12-29 04:21:00,133.03734,32.954594
799,2025-12-29 04:31:00,133.03778,32.954693
799,2025-12-29 04:41:00,133.03825,32.9548
799,2025-12-29 04:51:00,133.03873,32.954903
799,2025-12-29 05:01:00,133.03922,32.955013
799,2025-12-29 05:11:00,133.03972,32.955128
799,2025-12-29 05:21:00,133.04022,32.95524
799,2025-12-29 05:31:00,133.04074,32.955353
799,2025-12-29 05:41:00,133.04128,32.955463
799,2025-12-29 05:51:00,133.04181,32.955574
799,2025-12-29 06:01:00,133.04237,32.95568
799,2025-12-29 06:11:00,133.04292,32.95579
799,2025-12-29 06:21:00,133.04347,32.955902
799,2025-12-29 06:31:00,133.044,32.95601
799,2025-12-29 06:41:00,133.04454,32.95612
799,2025-12-29 06:51:00,133.04504,32.95623
799,2025-12-29 07:01:00,133.04555,32.956337
799,2025-12-29 07:11:00,133.04604,32.956448
799,2025-12-29 07:21:00,133.04652,32.956554
799,2025-12-29 07:31:00,133.04698,32.95666
799,2025-12-29 07:41:00,133.04744,32.956764
799,2025-12-29 07:51:00,133.04788,32.956867
799,2025-12-29 08:01:00,133.04831,32.956966
799,2025-12-29 08:11:00,133.04874,32.95706
799,2025-12-29 08:21:00,133.04915,32.957157
799,2025-12-29 08:31:00,133.04955,32.95725
799,2025-12-29 08:41:00,133.04994,32.957336
799,2025-12-29 08:51:00,133.05032,32.957424
799,2025-12-29 09:01:00,133.0507,32.957504
799,2025-12-29 09:11:00,133.05109,32.957584
799,2025-12-29 09:21:00,133.05145,32.957645
799,2025-12-29 09:31:00,133.05183,32.957695
799,2025-12-29 09:41:00,133.0522,32.957726
799,2025-12-29 09:51:00,133.05257,32.957745
799,2025-12-29 10:01:00,133.05293,32.957745
799,2025-12-29 10:11:00,133.0533,32.95773
799,2025-12-29 10:21:00,133.05367,32.9577
799,2025-12-29 10:31:00,133.05402,32.957653
799,2025-12-29 10:41:00,133.05437,32.957592
799,2025-12-29 10:51:00,133.05472,32.95751
799,2025-12-29 11:01:00,133.05507,32.95742
799,2025-12-29 11:11:00,133.05542,32.95731
799,2025-12-29 11:21:00,133.05576,32.957184
799,2025-12-29 11:31:00,133.05609,32.957047
799,2025-12-29 11:41:00,133.05643,32.95689
799,2025-12-29 11:51:00,133.05675,32.956722
799,2025-12-29 12:01:00,133.05708,32.95654
799,2025-12-29 12:11:00,133.0574,32.95634
799,2025-12-29 12:21:00,133.05772,32.956127
799,2025-12-29 12:31:00,133.05806,32.955902
799,2025-12-29 12:41:00,133.0584,32.95566
799,2025-12-29 12:51:00,133.05873,32.955406
799,2025-12-29 13:01:00,133.05907,32.955135
799,2025-12-29 13:11:00,133.05942,32.954853
799,2025-12-29 13:21:00,133.05977,32.954556
799,2025-12-29 13:31:00,133.06012,32.954243
799,2025-12-29 13:41:00,133.06047,32.95392
799,2025-12-29 13:51:00,133.06084,32.95358
799,2025-12-29 14:01:00,133.0612,32.953224
799,2025-12-29 14:11:00,133.06157,32.952858
799,2025-12-29 14:21:00,133.06195,32.952477
799,2025-12-29 14:31:00,133.06233,32.95208
799,2025-12-29 14:41:00,133.06271,32.95167
799,2025-12-29 14:51:00,133.06311,32.95125
799,2025-12-29 15:01:00,133.0635,32.95081
799,2025-12-29 15:11:00,133.0639,32.95036
799,2025-12-29 15:21:00,133.06433,32.94991
799,2025-12-29 15:31:00,133.06476,32.949455
799,2025-12-29 15:41:00,133.0652,32.949005
799,2025-12-29 15:51:00,133.06567,32.94855
799,2025-12-29 16:01:00,133.06615,32.9481
799,2025-12-29 16:11:00,133.06664,32.947647
800,2025-12-29 04:11:00,133.0369,32.9545
800,2025-12-29 04:21:00,133.03755,32.954655
800,2025-12-29 04:31:00,133.03821,32.95482
800,2025-12-29 04:41:00,133.0389,32.954983
800,2025-12-29 04:51:00,133.0396,32.95515
800,2025-12-29 05:01:00,133.0403,32.955322
800,2025-12-29 05:11:00,133.04103,32.955494
800,2025-12-29 05:21:00,133.04176,32.95567
800,2025-12-29 05:31:00,133.04253,32.95584
800,2025-12-29 05:41:00,133.04329,32.956017
800,2025-12-29 05:51:00,133.04407,32.95619
800,2025-12-29 06:01:00,133.04486,32.956364
800,2025-12-29 06:11:00,133.04567,32.956535
800,2025-12-29 06:21:00,133.04646,32.956707
800,2025-12-29 06:31:00,133.04724,32.956882
800,2025-12-29 06:41:00,133.048,32.957054
800,2025-12-29 06:51:00,133.04874,32.95723
800,2025-12-29 07:01:00,133.04947,32.9574
800,2025-12-29 07:11:00,133.05019,32.957577
800,2025-12-29 07:21:00,133.05089,32.95775
800,2025-12-29 07:31:00,133.05159,32.95792
800,2025-12-29 07:41:00,133.05226,32.958088
800,2025-12-29 07:51:00,133.05292,32.958256
800,2025-12-29 08:01:00,133.05356,32.95842
800,2025-12-29 08:11:00,133.0542,32.95858
800,2025-12-29 08:21:00,133.05481,32.95874
800,2025-12-29 08:31:00,133.05542,32.958897
800,2025-12-29 08:41:00,133.05602,32.959053
800,2025-12-29 08:51:00,133.05661,32.9592
800,2025-12-29 09:01:00,133.05719,32.95935
800,2025-12-29 09:11:00,133.05775,32.959496
800,2025-12-29 09:21:00,133.05832,32.959618
800,2025-12-29 09:31:00,133.05888,32.959724
800,2025-12-29 09:41:00,133.05945,32.959812
800,2025-12-29 09:51:00,133.06001,32.95988
800,2025-12-29 10:01:00,133.06056,32.95993
800,2025-12-29 10:11:00,133.06113,32.95996
800,2025-12-29 10:21:00,133.06168,32.959976
800,2025-12-29 10:31:00,133.06223,32.95997
800,2025-12-29 10:41:00,133.06277,32.95994
800,2025-12-29 10:51:00,133.06332,32.959896
800,2025-12-29 11:01:00,133.06387,32.95983
800,2025-12-29 11:11:00,133.0644,32.959747
800,2025-12-29 11:21:00,133.06494,32.959644
800,2025-12-29 11:31:00,133.06548,32.959522
800,2025-12-29 11:41:00,133.066,32.959385
800,2025-12-29 11:51:00,133.06653,32.95923
800,2025-12-29 12:01:00,133.06705,32.959053
800,2025-12-29 12:11:00,133.06757,32.958862
800,2025-12-29 12:21:00,133.06808,32.95865
800,2025-12-29 12:31:00,133.06862,32.95842
800,2025-12-29 12:41:00,133.06915,32.95817
800,2025-12-29 12:51:00,133.06969,32.9579
800,2025-12-29 13:01:00,133.07024,32.95761
800,2025-12-29 13:11:00,133.07079,32.957302
800,2025-12-29 13:21:00,133.07135,32.956978
800,2025-12-29 13:31:00,133.07191,32.95663
800,2025-12-29 13:41:00,133.07248,32.956264
800,2025-12-29 13:51:00,133.07306,32.95588
800,2025-12-29 14:01:00,133.07364,32.95547
